keys,en,de,it,ja,pl,uk,fr
"PZB_TUTORIAL_3","Very good, the system is now in ""monitoring"" mode, you can tell because the ""85"" is blinking. You can also see the yellow ""1000 Hz"" lamp. It is illuminated because you just passed a 1000 Hz magnet. It tells you that you need to slow down to 85 km/h within the next 23 seconds, and may not exceed 85 km/h afterwards. Slow down now.","Sehr gut, das System befindet sich nun im Überwachungsmodus, wie an der blinkenden \""85\"" zu erkennen ist. Außerdem leuchtet die 1000Hz Lampe, sie heißt so, weil sie durch den 1000Hz Magnet neben dem Signal ausgelöst wird. Die 1000Hz-Überwachung bedeutet, dass Sie innerhalb der nächstes 23 Sekunden Ihre Geschwindigkeit auf 85 km/h verringern müssen, und diese 85 km/h danach nicht mehr überschreiten dürfen. Bremsen Sie jetzt auf unter 85 km/h ab.",,,,,"Très bien, le sytème est désormais en mode ""veille active"", cela est signalé par le voyant ""85"" qui clignote. Vous pouvez aussi voir la lampe jaune ""1000 Hz"". Elle est allumée car vous venez de passer un inducteur passif 1000 Hz. Cela vous demande de ralentir sous 85 km/h dans les 23 prochaines secondes, puis de ne pas dépasser 85 km/h ensuite. Ralentissez maintenant."
"PZB_TUTORIAL_4","Very good, you slowed down to 85 km/h quickly enough. 700 meters after the 1000 Hz magnet, the 1000 Hz lamp will turn off. Keep driving until then.","Sehr gut, sie haben rechtzeitig auf 85 km/h abgebremst. 700 Meter nach dem 1000Hz Magnet wird sich die 1000Hz Lampe deaktivieren. Fahren Sie bis dahin weiter.",,,,,"Très bien, vous avez ralenti sous 85 km/h suffisamment rapidement. 700 mètres après l'inducteur 1000 Hz, la lampe ""1000 Hz"" s'éteindra. Continuez à circuler jusque là."
"PZB_TUTORIAL_5","The 1000 Hz lamp turned off, but PZB is still monitoring. It keeps running for a total of 1250 meters, so another 550 meters from here. Do not accelerate above 85 km/h.\n\nShould you see a green signal and a speed limit above 30 km/h, then you may press the ""PZB Free"" button (%s), to end monitoring immediately.","Die 1000Hz-Lampe ist erloschen, das beudeutet aber nicht, dass die Überwachung beendet ist. Die Überwachung läuft noch für 550 Meter, also beschleunigen Sie nicht über 85 km/h. Falls Sie am nächsten Signal ein grünes Licht sehen UND die Geschwindigkeit nicht auf 30 km/h oder weniger beschränkt wird, können Sie die \""PZB Frei\"" Taste (%s) drücken. Diese beendet die Überwachung durch PZB und Sie dürfen wieder auf Höchstgeschwindigkeit beschleunigen.",,,,,"La lampe ""1000 Hz"" s'est éteinte, mais le PZB continue sa veille active. Cela fonctionne pour un total de 1250 mètres, donc il reste encore 550 mètres. N'accélérez pas au dessus de 85 km/h.\n\nSi vous appercevez un signal vert et une limitation de vitesse supérieure à 30 km/h, vous pourrez presser le bouton ""libération PZB"" (%s), pour terminer la veille active immédiatement."
"PZB_TUTORIAL_6","The signal just changed to green. You can free yourself from Monitoring with the ""PZB Free"" button (%s). You can only free yourself when neither the 1000 Hz lamp, nor the 500 Hz lamp is on. Freeing yourself when you see a red light, or a speed limit below 30 km/h, is ""illegal"" and will result in emergency braking.\n\nFree yourself now, by pressing the ""PZB Free"" button.","Wie Sie sehen hat das Signal auf Grün gewechselt, das heißt Sie dürfen sich aus der Überwachung befreien. Eine Befreiung ist nur möglich, wenn weder die 1000Hz Lampe, noch die 500Hz Lampe leuchten. Sollten Sie sich befreien, während das nächste Signal rot oder eine Geschwindigkeit kleiner gleich 30 km/h zeigt, erfolgt eine Zwangsbremsung.\n\nDrücken Sie jetzt die ""PZB Frei"" Taste (%s) um sich aus der Überwachung zu befreien.",,,,,"Le signal vient de passer au vert. Vous pouvez vous libérer de la veille active avec le bouton ""libération PZB"" (%s). Vous pouvez uniquement vous libérer lorsque ni une lampe ""1000 Hz"", ni une lampe ""500 Hz"" est allumée. Se libérer alors qu'il y a un feu rouge, ou une limite de vitesse inférieure à 30 km/h, est ""illégal"" and déclenchera un freinage d'urgence.\n\nLibérez vous maintenant en pressant le bouton ""libération PZB""."
"PZB_TUTORIAL_7","Very good, you are now allowed to got max speed again. Drive to the next signal and apply what you have learnt so far.","Sehr gut. Sie dürfen jetzt wieder Höchstgeschwindigkeit fahren. Fahren Sie zum nächsten Signal, und wenden Sie das gelernte an.",,,,,"Très bien, vous êtes maintenant autorisé à circuler à la vitesse maximale. Roulez jusqu'au prochain signal et appliquez ce que vous avez appris jusqu'à présent."
"PZB_TUTORIAL_8","This time the signal will not change to green. Do you see that magnet on the track? That is the 500 Hz magnet, it is only active if the signal is red. You need to be going below 65 km/h before passing it, else the train will emergency brake. Slow down now.","Diesmal wechselt das Signal nicht auf grün. Sehen Sie den Magneten vor Ihnen? Das ist der 500Hz Magnet, er ist nur aktiv, wenn das nächste Signal rot ist. Sie müssen auf unter 65 km/h abbremsen, bevor Sie über den Magneten fahren, sonst erfolgt eine Zwangsbremsung.",,,,,"Cette fois le signal ne passera pas au vert. Vous voyez l'inducteur sur la voie ? C'est un inducteur 500 Hz, il est actif uniquement si le signal est rouge. Vous devez circuler à une vitesse inférieure à 65 km/h avant de le passer, sinon le train déclenchera un freinage d'urgence. Ralentissez maintenant."
"PZB_TUTORIAL_9","The 500 Hz lamp has activated. You can not free yourself from PZB anymore. Within the next 153 meters, you need to slow down to below 45 km/h. If the signal should then change to green, stay below 45 km/h! PZB will deactivate after 250 meters by itself. If the signal stays red, come to a stop before it. Passing a red signal will result in emergency braking.","Die 500Hz Lampe wurde aktiviert. Sie können sich ab sofort nicht mehr aus der PZB Überwachung befreien. Innerhalb der nächsten 153 Meter müssen Sie Ihre Geschwindigkeit auf 45 km/h reduzieren. Sollte das Signal jetzt auf grün wechseln, bleiben Sie unter 45 km/h! Die PZB-Überwachung deaktiviert sich nach 250 Metern von selbst.\n\nIn diesem Fall bleibt das Signal rot, also müssen Sie vor dem Signal anhalten. Sollten Sie ein rotes Signal überfahren, erfolgt eine Zwangsbremsung.",,,,,"La lampe ""500 Hz"" s'est activée. Vous ne pouvez plus vous libérer du PZB. Dans les prochains 153 mètres, vous devrez ralentir sous 45 km/h. Si le signal devait passer au vert, restez sous 45 km/h! PZB se désactivera de lui-même après 250 mètres. Si le signal reste rouge, arrêtez vous avant. Franchir un signal rouge déclenchera un freinage d'urgence."
"PZB_TUTORIAL_10","Wait for the signal to turn green.","Warten Sie darauf, dass das Signal auf grün umschaltet.",,,,,"Attendez que le feu passe au vert."
"PZB_TUTORIAL_11","Attention! Have you seen that the 70 and 85 are now blinking alternating? This indicates ""restrictive monitoring"". Restrictive monitoring is activated the first time you start the train, and if you go below 10 km/h for 15 seconds (includes stopping), while PZB Monitoring is active.\n\nRestrictive mode only allows a top speed of 45 km/h. If the 500 Hz lamp is on, like now, even only 25 km/h!\n\nWait for green and start driving.","Achtung! Haben Sie gesehen, dass jetzt die 70 und 85 abwechselnd blinken? Das ist der restriktive Modus. Er wird aktiviert, wenn man den Zug das erste mal startet, oder wenn man während der Überwachung für 15 Sekunden langsamer als 10 km/h fährt (also auch, wenn man anhält).\n\nWenn die restriktive Überwachung aktiv ist, dürfen Sie nicht schneller als 45 km/h fahren. Wenn gleichzeitig die 500 Hz Lampe leuchtet, so wie jetzt, sogar nur 25 km/h!\n\nWarten Sie auf grün und fahren Sie dann weiter.",,,,,"Attention ! Avez-vous remarqué que les lampes ""70"" et ""85"" clignotent alternativement? Cela indique ""veille restreinte"". La veille restreinte est activée la première fois que vous démarrez le train, puis si vous ralentissez sous 10 km/h pendant 15 secondes (arrêts inclus), pendant que la veille PZB est active. \n\nLe mode restricitif autorise une vitesse maximale de 45 km/h. Si la lampe ""500 Hz"" est allumée, comme maintenant, c'est même 25 km/h!\n\nAttendez le vert et reprenez la conduite."
"PZB_TUTORIAL_12","PZB Monitoring was deactivated, but you are still in restrictive mode. Since the 500 Hz lamp turned off, you can go up to 45 km/h, and you can also now free yourself. But remember that freeing yourself is only possible if there is a speed limit above 30 km/h and you do not expect another PZB Monitoring within 550 meters (so if you see a yellow signal ahead, don't free yourself).\n\nFree yourself from restrictive mode now, by pressing ""PZB Free"" (%s).","Die PZB-Überwachung wurde deaktiviert. Aber Sie befinden sich weiterhin im restriktiven Modus. Da die 500 Hz Lampe aus ist, dürfen Sie jetzt 45 km/h fahren. Sie können den restriktiven Modus jetzt auch beenden, indem Sie die \""PZB Frei\"" Taste (%s) drücken, aber denken Sie daran, dass das nur zulässig ist, wenn in den nächsten 550 Metern eine Geschwindigkeit über 30 km/h erlaubt ist, und keine erneute PZB-Beeinflussung zu erwarten ist. (Sehen Sie ein gelbes oder rotes Signal, dann befreien Sie sich nicht). Die Befreiung ist nur möglich wenn weder die 1000 Hz noch die 500 Hz Lampe leuchten.",,,,,"La veille PZB a été désactivée, mais vous êtes toujours en mode restreint. Comme la lampe ""500 Hz"" est éteinte, vous pouvez aller jusqu'à 45 km/h, vous pouvez également vous libérer. Mais souvenez vous que se libérer n'est possible que si la limite de vitesse est supérieure à 30 km/h et que vous n'attendez pas une autre veille PZB dans les 550 prochains mètres (donc si vous voyez arriver un signal jaune, ne vous libérez pas).\n\nLibérez vous du mode restreint maintenant, en pressant ""Libération PZB"" (%s)."
"PZB_TUTORIAL_13","Restrictive Monitoring was deactivated. You may now go max line speed again.\n\nYou have finished the PZB Tutorial! Congratulations!\n\nA little hint: should you ever get PZB emergency braking, just wait for the train to come to a complete halt, then press the ""PZB Free"" (%s) button to regain control. Happy driving!","Die restriktive Überwachung wurde beendet. Sie dürfen jetzt wieder mit Höchstgeschwindigkeit fahren.\n\nSie haben die Einweisung in das PZB-Sicherheitssystem erfolgreich abgeschlossen!\n\nZum Schluss noch ein Tipp: sollten sie jemals von PZB Zwangsgebremst werden, keine Sorge, warten Sie bis der Zug komplett zum stehen kommt, und drücken Sie dann die ""PZB Frei"" Taste (%s), um sich aus der Zwangsbremsung zu lösen.",,,,,"Le mode restreint a été désactivé. Vous pouvez à nouveau circuler à la vitesse maximale de la ligne.\n\nVous havez fini le tutoriel PZB! Félicitations!\n\nUn petit conseil: si vous devez un jour vivre un freinage d'urgence PZB, attendez l'arrêt complet du train, puis pressez le bouton ""libération PZB"" (%s) pour reprendre le contrôle. Bonne conduite !"
"PZB_TUTORIAL_100","You did not press the PZB Acknowledge button quickly enough. Please restart the tutorial.","Sie haben die PZB Wachsam Taste nicht rechtzeitig betätigt und dadurch eine Zwangsbremsung ausgelöst. Bitte starten Sie die Einweisung erneut.",,,,,"Vous n'avez pas pressé le bouton d'acquittement du PZB assez rapidement. Merci de recommencer le tutoriel."
"PZB_TUTORIAL_200","You did not slow down to 85 km/h quickly enough. Please restart the tutorial.","Sie haben nicht schnell genug auf 85 km/h abgebremst. Bitte starten Sie die Einweisung erneut.",,,,,"Vous n'avez pas ralenti sous 85 km/h assez vite. Merci de recommencer le tutoriel."
